No,Model,Sku ,Size,Selling price,Payout,Issues?,Location,Owner,Insurance Price,Consign Date,Sell Date,Buy in,Checked in/out from store,Bought in
,Dunk low Iron stone,FD9746001,49.5,285,,,J5 Store,J5 Store,,,,,,
,Dunk low Iron stone,FD9746001,45.5,285,,,J5 Store,J5 Store,,,,,,
,Dunk low Iron stone,FD9746001,38,285,,,J5 Store,J5 Store,,,,,,
AN1103,jordan 1 high washed pink,fd2596600,41,285,185,,J5 Store,Anh,10,09-08-23,,,,
MO1104,yeezy foam rnnr clay,gv6842,48.5,285,160,,J5 Store,Mo,10,11-8-23,,,,
IM1401,dunk low ocean,dv3029100,40,285,190,,j5 store ,Imad,,14-8-23,,,,
,Dunk low Iron stone,FD9746001,42,285,,,J5 Store,J5 Store,,,,,,
,Dunk Low Archeo Pink (W),dd1503111,42.5,295,,,J5 store,J5 store,,,,145,,deadstock 6-8-23
,Dunk Low Archeo Pink (W),dd1503111,40,295,,,J5 store,J5 store,,,,145,,deadstock 6-8-23
,Campus 80s Bape 30th Anniversary Brown,if3379,44,295,,,J5 store,J5 store,,,,150,,deadstock 6-8-23
,Nike Dunk Low Grey Fog ,dd1391103,46,295,,,J5 store,J5 store,,,,140,,deadstock 6-8-23
,adidas Campus 80s South Park Towelie ,gz9177,41 1/3,295,,,J5 store,J5 store,,,,150,,deadstock 6-8-23
,adidas Campus 80s South Park Towelie ,gz9177,38 2/3,295,,,J5 store,J5 store,,,,130,,deadstock 6-8-23
,Jordan 1 Low 2021 Quai 54,dm0095106,43,295,,,J5 store,J5 store,,,,160,,deadstock 6-8-23
GG0503,Jordan 1 Mid Diamond Shorts,dh6933100,42,295,220,,J5 store,Lino,,05-08-23,,,,
,Jordan mid stealth,BQ6472115,38.5,295,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,air max 1 hyper pink,cz7920001,44,295,,,J5 store,J5 store,,,,,,
,dunk low grey fog,dd1391103,45.5,295,,,J5 store,J5,,,,200,,
Gz1103,Dunk low triple pink,Dh9765600,38.5,295,160,,j5 store,Gosh ,10,,,,,
,Jordan 3 wizards,Ct8532148,42.5,295,,,J5 Store,J5 Store,,,,,,
,Jordan 3 wizards,Ct8532148,45,295,,,J5 Store,J5 Store,,,,,,
,Jordan 3 wizards,Ct8532148,40,295,,,J5 Store,J5 Store,,,,,,
,Jordan 3 wizards,Ct8532148,44,295,,,J5 Store,J5 Store,,,,,,
,Jordan 3 wizards,Ct8532148,40,295,,,J5 Store,J5 Store,,,,,,
,Jordan 3 wizards,Ct8532148,45,295,,,J5 Store,J5 Store,,,,,,
,Jordan 3 wizards,Ct8532148,41,295,,,J5 Store,J5 Store,,,,,,
,Jordan 3 wizards,Ct8532148,41,295,,,J5 Store,J5 Store,,,,,,
,Campus 80s Bape 30th Anniversary Brown,IF3379,44 2/3,295,,,j5 store,j5 store,,,,,,
MIKE1102,air force 1 low supreme,cu9225100,46,295,210,,j5 store,Mike,,,,,,
,adidas yu gi oh black magi,ho6442,44,295,,,j5 store,,,,,150,,
,Jordan 1 Low OG Neutral Grey,cz0790100,41,295,,,J5 Store,J5 Store,,,,,,
,dunk low paisly orange,DH4401103,37.5,295,,,j5store,j5store,,,,,,
,New Balance 1906D Black- Protection Pack,m1906df,42.5,295,,,J5 Store,J5 Store,,,,,,
,New Balance 1906D white - Protection Pack,m1960de,44,295,,,J5 Store,J5 Store,,,,,,
,jordan 1 high unc toe,dz5485400,44,305,,,J5 Store,J5 Store,,,,,,
BE0603,used sb dunk high red,305050161,47.5,315,210,box damage,,,,,,,,
BE0604,used jordan 4 metallic purple,ct8527115,47.5,315,210,box damage,,,,,,,,
,Jordan 5 UNC,DV1310401,42.5,315,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Jordan 1 High Fearless UNC Chicago,ck5666100,45,325,,,J5 store,J5 store,,,,190,,deadstock 6-8-23
,Nike Court Force SP X Fragment,814913661,40.5,325,,,J5 store,J5 store,,,,140,,deadstock 6-8-23
,Sb dunk gardenia,DQ5130400,41,325,,,J5 store,Ak,,,,,,
,Dunk low barber shop white ,Dh7614500,42.5,325,,,J5 store,J5 store,,,,,,
,sb dunk low run the jewels,DO9404400,45,325,,,J5 store,J5,,,,190,,
,adidas campus 00s green,h03472,40 2/3,325,,,J5 Store,J5 Store,,,,,,
,New balance 9060 silver,u9060GG,36,325,,,J5 store,J5,,,,180,,
,New balance 9060 silver,U9060GG,37,325,,,J5 store,J5,,,,180,,
,New balance 9060 silver,U9060GG,42,325,,,J5 store,J5,,,,180,,
,New balance 9060 silver,U9060GG,45,325,,,J5 store,J5,,,,180,,
